country,iso,year,debt,inflation,reserves,current_account,fdi,gdp_growth,region,gdp_growth_next,fragility_score,normalised_fragility_score
Albania,AL,2020,83.4542023884025,1.62088661717004,9.16482348389535,-8.62504716701021,7.01865154485077,-3.31371614712083,Southern Europe,8.96955339178935,-0.15724613874417126,0.6510931024165374
Albania,AL,2019,74.8082829284774,1.41109078954251,5.94458817000626,-7.82064680790707,7.70621785587149,2.06256753999989,Southern Europe,-3.31371614712083,-0.13067106035287535,0.6550350728620769
Albania,AL,2018,63.6337624893814,2.02805963071135,6.37055743693267,-6.60766413996776,7.83109066598543,4.01934561695576,Southern Europe,2.06256753999989,-0.2312527162039208,0.6401154587450362
Albania,AL,2017,75.8887278169195,2.06059845920226,6.57489520485402,-7.54422875202925,7.85544826704409,3.80259872019053,Southern Europe,4.01934561695576,-0.15417346161356218,0.651548882913558
Albania,AL,2016,80.7355819675527,-0.367317209784652,6.54350256672645,-7.59082599857198,8.80509197849022,3.31498068384137,Southern Europe,3.80259872019053,-0.12112384872661124,0.6564512427605773
Albania,AL,2015,79.8644181475793,3.50120835492657,7.03758370063155,-8.60488046763521,8.69053394301894,2.21872637517804,Southern Europe,3.31498068384137,-0.20847884404674372,0.6434935835299281
Albania,AL,2014,73.3202274771466,1.62586504402604,4.87320220304283,-10.7753990397848,8.69303872198522,1.77444885260394,Southern Europe,2.21872637517804,-0.19633296406490153,0.6452952226151838
Albania,AL,2013,70.5807697920008,1.93762080205223,5.40303177852845,-9.27418778932724,9.81628458243044,1.00201754071108,Southern Europe,1.77444885260394,-0.26463586661662936,0.6351636241589528
Albania,AL,2012,63.6691526405469,2.03159268395296,5.04393065477355,-10.2001762330966,7.45135495532692,1.4172427999078,Southern Europe,1.00201754071108,-0.22568431834224423,0.6409414378626339
Albania,AL,2011,69.6376739165201,3.42807130141503,4.23201039801394,-12.9331014515688,8.13533613546751,2.54540614450104,Southern Europe,1.4172427999078,-0.23912882929249857,0.6389471684934044
Armenia,AM,2021,60.080359768226,7.18483629443371,5.51674485475857,-3.47997395796116,2.64030281211345,5.80000000065645,Western Asia,12.5999999997766,-0.03476618400503849,0.6692609646009368
Armenia,AM,2020,63.4012140067668,1.21143577838465,5.44802427323625,-3.99777390668494,0.463408850763634,-7.19999999920631,Western Asia,5.80000000065645,0.15827012117730463,0.6978946867198585
Armenia,AM,2019,50.0284206863703,1.44344660770698,4.08301821030606,-7.05686573000043,0.736361516844353,7.59999999853918,Western Asia,-7.19999999920631,0.03351345597394548,0.6793891124417869
Australia,AU,2021,70.0109117652417,2.86391042204994,1.74577574416351,2.61066078948374,2.0246819461122,2.11116814768786,Australia and New Zealand,4.24238555336139,0.35510367999138787,0.7270916681966696
Australia,AU,2020,69.3215748590956,0.846905537459305,1.61078934195227,1.87433748291951,1.35325605506287,-0.119590735829973,Australia and New Zealand,2.11116814768786,0.39789341420343904,0.7334388128843647
Australia,AU,2019,60.2260851971351,1.61076787290379,1.78542694043333,-0.0207105142276053,2.78196787472132,2.17154505737176,Australia and New Zealand,-0.119590735829973,0.21791706827648438,0.7067423182929279
Australia,AU,2018,54.5030658860126,1.91140094445691,1.57177285283227,-2.56116066582786,4.25033304779982,2.87846971467883,Australia and New Zealand,2.17154505737176,0.07336074114234893,0.6852997938010666
Australia,AU,2017,53.3164358193161,1.94864740944527,2.08266434402624,-3.00161155039194,3.63608951454838,2.27959179820343,Australia and New Zealand,2.87846971467883,0.0644064805207204,0.6839715783123899
Australia,AU,2016,54.6779869160885,1.27699094497324,1.88832548352904,-3.6163121880746,3.56056595221134,2.7593859723839,Australia and New Zealand,2.27959179820343,0.08483333529556958,0.6870015621428103
Australia,AU,2015,46.4820384628409,1.50836672165921,1.60125212905097,-4.31257611103591,3.47020901785018,2.19016928695221,Australia and New Zealand,2.7593859723839,0.017472106965324537,0.6770096453799219
Australia,AU,2014,41.7223304965257,2.48792270531404,1.66103068226082,-3.09266163288854,4.3047066438758,2.59528411594042,Australia and New Zealand,2.19016928695221,-0.05253990742083077,0.6666245286371131
Australia,AU,2013,37.5600008066242,2.4498886414254,1.55435208477367,-3.25799888383101,3.45392766613526,2.60219339436559,Australia and New Zealand,2.59528411594042,-0.04941006622368983,0.6670887884717106
Australia,AU,2012,39.441661369273,1.76278015613196,1.36947135285815,-4.44404469042498,3.72019933653419,3.91670942454073,Australia and New Zealand,2.60219339436559,-0.04805743316489173,0.6672894290667423
Australia,AU,2011,30.0953996273683,3.3038501560874,1.3329222997953,-3.26400930085158,4.68881515477357,2.40708018291988,Australia and New Zealand,3.91670942454073,-0.16606295649801178,0.6497852742890866
Australia,AU,2010,28.6633975352712,2.91834002677376,1.4494932951904,-4.00506862277956,3.0948394339821,2.21998026536549,Australia and New Zealand,2.40708018291988,-0.12151800073351006,0.6563927768723731
Austria,AT,2021,96.0278211815402,2.7666666666667,1.34277745733303,1.71589946789047,3.95409323796325,4.79532910551458,Western Europe,5.27789421203715,0.48831942182353155,0.7468520056621244
Austria,AT,2020,101.667208235561,1.38191063351862,1.54690820888035,3.3513779974929,-2.76332070661681,-6.31825528670208,Western Europe,4.79532910551458,0.8524190907224893,0.8008601298488995
Austria,AT,2019,85.0546807677816,1.53089564152644,1.06619940901405,2.38423045289808,-2.85255617561831,1.7549764558533,Western Europe,-6.31825528670208,0.7197389498134136,0.7811792398634577
Austria,AT,2018,86.052092772266,1.9983798142954,1.01838757837563,0.908176708238319,-6.15119207172195,2.48422086689928,Western Europe,1.7549764558533,0.8380489015035971,0.7987285515196241
