country,iso,year,debt,inflation,reserves,current_account,fdi,gdp_growth,region
Eswatini,SZ,2016,20.6368720280484,7.8472745908568,3.4007165812672,8.02557916075404,0.72457277555219,3.5289979506086,Southern Africa
Eswatini,SZ,2015,16.5118105271512,4.95124493704919,3.14041243649884,13.7519336554713,0.812188702535935,1.35489493183989,Southern Africa
Eswatini,SZ,2014,14.4248280159816,5.68134885776447,3.49988418367854,12.047539811251,0.606572389548649,1.71688783296895,Southern Africa
Eswatini,SZ,2012,12.8823565660319,8.93964682788212,3.65593422157525,4.91018584462683,0.541895494609965,5.39663069666719,Southern Africa
Eswatini,SZ,2011,12.5120949775288,6.10742714590251,2.95012491152027,-5.8442028934161,2.0476871336774,2.2472297610679,Southern Africa
Eswatini,SZ,2010,12.7334107582969,4.50923691774369,2.96272802221521,-8.74814249319525,3.05626477337983,3.79375496828149,Southern Africa
Ethiopia,ET,2019,31.4488486740364,15.8096321719344,1.80527864372518,-5.23928384636561,2.65736016138456,8.3640856990789,Eastern Africa
Ethiopia,ET,2018,32.5332185023587,13.8330356586661,2.35373732912293,-5.47209883044265,3.98771971634175,6.81614779681703,Eastern Africa
Ethiopia,ET,2017,30.0951131996185,10.6871150284238,1.84484716277073,-7.25029143899611,4.91270147677603,9.56418964295607,Eastern Africa
Ethiopia,ET,2016,29.0056900690034,6.62813337230924,1.78101039203728,-10.640419267884,5.57620321707488,9.43348265784402,Eastern Africa
Ethiopia,ET,2015,27.9431250379303,9.56889955968623,2.28152768719768,-11.7149020637799,4.06648896536453,10.3924630202334,Eastern Africa
Ethiopia,ET,2014,26.9372797365191,6.89001951597192,2.3002950163837,-10.3781721184148,3.33569111068817,10.2574929610051,Eastern Africa
Ethiopia,ET,2013,10.733283781495,7.46402192944517,1.97097009114636,-6.36626399169653,2.82040845857162,10.5822700482672,Eastern Africa
France,FR,2022,96.7764980125667,5.22236748369735,2.28352403130162,-1.18259080268105,3.91856445477022,2.57084047443969,Western Europe
France,FR,2021,115.58850689623,1.64233141038385,2.65318657576471,0.244238511780542,3.30405312221271,6.88233786590355,Western Europe
France,FR,2020,122.181515731387,0.476498852725066,2.93207471945523,-2.00313613657686,0.731471704018579,-7.44064593044142,Western Europe
France,FR,2019,104.541768405548,1.10825492288294,2.1554748052179,0.58736276457575,1.96486943301562,2.02744647639635,Western Europe
France,FR,2018,103.380973835538,1.85081508315502,1.83376419046355,-0.735670615255371,2.78594184568695,1.64590872932709,Western Europe
France,FR,2017,104.034964734395,1.03228275064662,1.90966013668591,-0.474615185215668,1.68928072199317,2.08361485062076,Western Europe
France,FR,2016,103.318270583925,0.18333486112386,1.92813809141289,-0.538632351885895,1.44200321416196,0.860031082016107,Western Europe
France,FR,2015,100.312637185328,0.0375143805125182,1.82304349468037,-0.334528437032909,1.76596182973896,1.06675473488909,Western Europe
France,FR,2014,99.72897755994,0.50775882293799,1.64889771434924,-0.962733699381149,0.176974174772525,0.997832937998666,Western Europe
France,FR,2013,92.6322654272623,0.863715497861805,1.70354807584636,-0.597990456908111,1.18823404938295,0.781756445913402,Western Europe
France,FR,2012,91.0281619856124,1.9541953161351,2.24469971191405,-1.22530807843013,1.22790071519382,0.183835271019575,Western Europe
France,FR,2011,83.3376896463065,2.11159795174994,1.94576614808198,-1.02802797917579,1.54005293306163,2.43757656877079,Western Europe
France,FR,2010,81.5839043330584,1.53112270420926,2.20263034447717,-0.832545468638348,1.46961673029144,2.00032472699981,Western Europe
Georgia,GE,2022,42.9693933571232,11.8981654203198,3.10590131043352,-4.42087610102786,9.15328575552963,10.9585321385624,Western Asia
Georgia,GE,2021,54.7271260127791,9.56691433824769,3.83007975444181,-10.30459946521,6.74295146360052,10.6442336580969,Western Asia
Georgia,GE,2020,65.193315792645,5.2024648897534,4.39330572300151,-12.4335796501942,3.39837673139654,-6.2904717853839,Western Asia
Georgia,GE,2019,44.723685798174,4.85289821696723,3.15079826244615,-5.99374849041921,7.92523222582948,5.38071926589951,Western Asia
Georgia,GE,2018,38.2238727024287,2.6152447139767,3.09975432917742,-6.65935234039703,7.28401976586955,6.062036412677,Western Asia
Georgia,GE,2017,38.8413159167876,6.03531725272117,3.23481498277275,-7.95124743463903,11.7183676491747,5.15990261658827,Western Asia
Georgia,GE,2016,39.4788389461877,2.13492713939121,3.27379582378216,-12.2417329389246,10.746989399988,3.45021517996871,Western Asia
Georgia,GE,2015,36.0003473428274,4.00357820695097,3.0742851187642,-11.6071164150782,11.3986492046024,3.35102350265353,Western Asia
Georgia,GE,2014,30.3921568627451,3.06881210379543,2.87263780455388,-9.93087844279949,10.2241873429056,4.09049059581743,Western Asia
Georgia,GE,2013,28.9477658041046,-0.512058410947092,3.22647864270285,-5.45445307967913,5.97432640298838,5.13288531209382,Western Asia
Georgia,GE,2012,28.1048141377209,-0.943658853270964,3.31848014310098,-11.1441786727056,5.73087327277528,6.57883101954195,Western Asia
Georgia,GE,2011,27.6972297789187,8.5429333333333,3.6872560701917,-11.9098234516365,7.56100540937968,7.9343365253078,Western Asia
Georgia,GE,2010,31.4208316402546,7.11017897486099,3.94390900590327,-9.6468391223966,7.41065931415781,6.24640865303363,Western Asia
Greece,GR,2022,202.480392684901,9.64525981280632,1.05795032274949,-10.3357101038965,3.63119902887991,5.74364918958959,Southern Europe
Greece,GR,2021,233.448695008579,1.22382501019854,1.56153579405131,-6.34795283469092,2.80914754352091,8.65449785311438,Southern Europe
Greece,GR,2020,249.366027184106,-1.24798355581405,1.80594966237987,-6.48664200392795,1.72637818314203,-9.19623147082588,Southern Europe
Greece,GR,2019,210.381371566225,0.253007522038157,1.11072209501885,-1.50121840629263,2.41172201156202,2.27718063644569,Southern Europe
Greece,GR,2018,207.661903904942,0.62562141345364,0.957333984886142,-2.92946837177349,1.88723349665644,2.06467253338354,Southern Europe
Greece,GR,2017,198.458598610991,1.12125452031419,1.17146506354673,-1.79956830770948,1.7162955046024,1.47312498503697,Southern Europe
Greece,GR,2016,194.725367879293,-0.825653978390973,1.17793527461763,-1.68881636338714,1.3975055397238,-0.0317952126675323,Southern Europe
Greece,GR,2015,190.301552874834,-1.73588804765284,1.00382336570052,-0.828192197799729,0.652184629866422,-0.228301959026894,Southern Europe
Greece,GR,2014,190.585867838051,-1.31226096405506,0.817946595802777,-1.59663409250033,1.15314480305525,0.792225038353592,Southern Europe
Greece,GR,2013,187.608117967348,-0.921269454256994,0.778697041386536,-2.09216226097274,1.24506178790059,-2.27211692215486,Southern Europe
Greece,GR,2012,170.278178335433,1.50152696177758,1.13518534780232,-2.58418506053025,0.695897838082299,-8.33113395866982,Southern Europe
Greece,GR,2011,116.116344893868,3.3298532335065,0.792222436462402,-10.0976272377955,0.385622565634744,-9.87677903873015,Southern Europe
Greece,GR,2010,136.928187116935,4.71298907760388,0.792574625878537,-10.2094499511211,0.179789223267027,-5.69374120273665,Southern Europe
Guatemala,GT,2013,25.2099495623048,4.34337131279521,4.30234850708075,-4.22439861083835,2.87216145071537,3.69481919881751,Central America
Guatemala,GT,2012,24.7007424112068,3.78180754679678,4.14540453217195,-3.72480170275582,2.82256297187213,2.97470856847661,Central America
Guatemala,GT,2011,24.5639597782709,6.21412393067091,3.96017335788336,-3.37024214653633,1.87038244023626,4.16390688293349,Central America
Guatemala,GT,2010,24.8169594138567,3.85950909833175,4.53206074699764,-1.88548550474234,2.71030706792051,2.88417542800377,Central America
Hungary,HU,2022,75.5259534751362,14.6081439492433,2.53786401269014,-8.3205705337549,-1.1227943982934,4.58340767295068,Eastern Europe
Hungary,HU,2021,86.9236862466223,5.11096534382855,3.03832220501206,-3.87800347437411,18.3888757177947,7.06122060972912,Eastern Europe
Hungary,HU,2020,95.9372022493216,3.32674385766738,3.59022823788534,-0.856486462034654,106.427933097787,-4.48704604765308,Eastern Europe
Hungary,HU,2019,83.3683015926417,3.33858635382008,2.50973962518308,-0.61012681765295,59.9103508132077,4.86422573511891,Eastern Europe
Hungary,HU,2018,86.5296515914666,2.85024792594646,2.5466919286943,0.342221041090595,-40.2628801605692,5.36234836176223,Eastern Europe
Hungary,HU,2017,91.9872247713716,2.34824281150154,2.49519454988071,1.72222481371539,-8.64479864186923,4.27197601620695,Eastern Europe
Hungary,HU,2016,96.77762376685,0.394769306686392,2.62688532938793,4.41513360524006,54.0032415239678,2.20100189293856,Eastern Europe
Hungary,HU,2015,96.3973535639551,-0.0616446800641672,3.41856896913722,2.11974465500318,-4.36969676192795,3.7073159793626,Eastern Europe
Hungary,HU,2014,98.6713309160176,-0.227566270988219,3.74202411287159,0.747980298522413,9.13264031619237,4.23220980614269,Eastern Europe
Hungary,HU,2013,94.7331902055697,1.73319984983101,4.38117231683849,2.99024715804561,-2.74908851237622,1.80252210082266,Eastern Europe
Hungary,HU,2012,94.1475132059307,5.65214517088646,4.31681177187639,1.07616343983467,8.28331795876545,-1.25022602347063,Eastern Europe
Hungary,HU,2011,90.562544900341,3.9299209893507,4.28237217503758,0.428149463526032,7.44237086114774,1.86683747544298,Eastern Europe
Hungary,HU,2010,81.2817151464614,4.85555795691956,4.28656145330656,-0.187824310820443,-15.8521934475209,1.0762540427767,Eastern Europe
